#,Name,T,V,T,V,T,V
1,Алексей Купляков,4,0,4,0,11,0
2,Владимир Владимирович,1,0,5,1,3,0
3,Виктор Нелипович,4,1,1,1,1,0
4,Виталий Тютюриков,5,0,3,0,14,0
5,Денис Кубиков,3,0,5,0,4,0
6,Дмитрий Матвеев,2,0,4,1,3,1
7,Евгений Сафронов,2,1,3,1,1,1
8,Марк Карк,1,1,2,0,4,1
9,Михаил Ковальков,3,1,2,1,2,0
10,Святослав Соколов,5,1,1,0,2,1
