#,Name,Faction,T,V,D,T,V,D,T,V,D
1,Владимир Владимирович,курноты,1,3,6,2,3,8,1,-3,-4
2,Дмитрий Дмитрушенко,скелеты,2,-3,-4,3,-3,-1,4,-3,-8
3,Александр Каревский,маги,3,-3,-11,4,-3,-2,-1,1,0
4,Максим Каревский,курноты,4,-3,-29,-1,1,0,4,3,8
5,Павел Аленчев,риверы,-1,1,0,3,3,1,2,3,11
6,Марк Карк,илтари,1,-3,-6,4,3,2,3,3,8
7,Максим Федоров,стилхарты,2,3,4,2,-3,-8,3,-3,-8
8,Анна Мельникова,призраки,3,3,11,1,3,7,1,3,4
9,Михаил Ковальков,моллог,4,3,29,1,-3,-7,2,-3,-11
