#,Name,Faction,T,V,D,T,V,D,T,V,D
1,Денис Никишин,скелеты,1,3,15,1,0,-6,2,3,11
2,Владимир Барсегов,крысы,2,0,-2,3,3,-1,3,-3,-3
3,Максим Шамцян,стилхарты,1,-3,-15,4,3,6,4,-3,-13
4,Павел Аленчев,риверы,2,0,2,2,-3,-13,4,3,13
5,Макс Бар,маги,3,-3,-5,4,-3,-6,6,3,13
6,Сергей Куров,орки,4,0,-9,5,-3,-17,5,-3,-17
7,Александр Петрив,магоры,3,3,5,6,3,14,1,-3,-7
8,Александр Каревский,магоры,4,0,9,2,3,13,2,-3,-11
9,Максим Каревский,моллог,5,3,20,1,0,6,1,3,7
10,Данила Антонов,стилхарты,6,-3,3,3,-3,1,5,3,17
11,Егор Долженко,скелеты,5,-3,-20,5,3,17,3,3,3
12,Proxy,стилхарты,6,3,-3,6,-3,-14,6,-3,-13
